,0,1,2,3
3,,RGE                                                            vs                                                    MSF,"13 июня, 23:00",
4,,XL                                                            vs                                                    MAD,"14 июня, 00:00",
5,,FNC                                                            vs                                                    VIT,"14 июня, 01:00",
6,,G2                                                            vs                                                    OG,"14 июня, 02:00",
7,,MAD                                                            vs                                                    GOAT,"14 июня, 07:00",
8,,BST                                                            vs                                                    DVE,"14 июня, 09:00",
9,,SK                                                            vs                                                    MAD,"14 июня, 22:00",
10,,S04                                                            vs                                                    RGE,"14 июня, 23:00",
11,,OG                                                            vs                                                    MSF,"15 июня, 00:00",
12,,G2                                                            vs                                                    VIT,"15 июня, 01:00",
13,,FNC                                                            vs                                                    XL,"15 июня, 02:00",
14,,PSK                                                            vs                                                    TH,"15 июня, 05:00",
15,,OG                                                            vs                                                    ZWN,"15 июня, 07:00",
16,,ANT                                                            vs                                                    NOC,"15 июня, 09:00",
17,,OGSB                                                            vs                                                    EUSA,"16 июня, 23:00",
18,,MRSA                                                            vs                                                    KWK,"17 июня, 00:00",
19,,GIAA                                                            vs                                                    AQ,"17 июня, 01:00",
0,,S2VA                                                            vs                                                    KBZ,"17 июня, 02:00",
1,,DVE                                                            vs                                                    TH,"21 июня, 07:00",
2,,GOAT                                                            vs                                                    NOC,"21 июня, 09:00",
3,,MAD                                                            vs                                                    OG,"22 июня, 07:00",
4,,BST                                                            vs                                                    PSK,"22 июня, 09:00",
5,,NOC                                                            vs                                                    ZWN,"28 июня, 07:00",
6,,GOAT                                                            vs                                                    TH,"28 июня, 09:00",
7,,PSK                                                            vs                                                    ANT,"29 июня, 07:00",
8,,BST                                                            vs                                                    OG,"29 июня, 09:00",
9,,GOAT                                                            vs                                                    ZWN,"05 июля, 07:00",
10,,DVE                                                            vs                                                    NOC,"05 июля, 09:00",
11,,BST                                                            vs                                                    ANT,"06 июля, 07:00",
12,,MAD                                                            vs                                                    PSK,"06 июля, 09:00",
13,,TH                                                            vs                                                    NOC,"12 июля, 07:00",
14,,DVE                                                            vs                                                    ZWN,"12 июля, 09:00",
15,,OG                                                            vs                                                    PSK,"13 июля, 07:00",
16,,MAD                                                            vs                                                    ANT,"13 июля, 09:00",
17,,GOAT                                                            vs                                                    DVE,"19 июля, 07:00",
18,,TH                                                            vs                                                    ZWN,"19 июля, 09:00",
19,,MAD                                                            vs                                                    BST,"20 июля, 07:00",
0,,OG                                                            vs                                                    ANT,"20 июля, 09:00",
1,,TBD                                                            vs                                                    TBD,"13 августа, 14:00",
