,0,1,2,3,4,5,6,7,8
14,/lol/tcl-2018-winter/season/youthcrew-esports-vs-team-aurora-61775,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,YouthCrewсчетAUR,"11 февраля, 2018, 18:40",
15,/lol/lms-2018-spring/season/hka-vs-mad-team-61266,/media/flag/56.png,/media/flag/7.png,/lol/lms-2018-spring/season,/media/tournament/_60/e1462.png,,HKAсчетMAD,"11 февраля, 2018, 18:05",
16,/lol/lck-2018-spring/season/kongdoo-vs-kt-rolster-60670,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,KDMсчетkt,"11 февраля, 2018, 17:36",
17,/lol/lck-2018-spring/season/skt-t1-vs-ksv-esports-60669,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,T1счетKSV,"11 февраля, 2018, 14:41",
18,/lol/opl-2018-split-1/season/order-vs-dire-wolves-61468,/media/flag/32.png,/media/flag/32.png,/lol/opl-2018-split-1/season,/media/tournament/_60/e1612.png,,ORDсчетDW,"11 февраля, 2018, 12:45",
19,/lol/opl-2018-split-1/season/bombers-vs-sin-gaming-61451,/media/flag/32.png,/media/flag/32.png,/lol/opl-2018-split-1/season,/media/tournament/_60/e1612.png,,BMRсчетSin,"11 февраля, 2018, 09:43",
0,/lol/na-lcs-2018-spring/season/efx-vs-golden-guardians-60847,/media/flag/2.png,/media/flag/2.png,/lol/na-lcs-2018-spring/season,/media/tournament/_60/e1602.png,,FOXсчетGGS,"11 февраля, 2018, 08:53",
1,/lol/na-lcs-2018-spring/season/100-thieves-vs-flyquest-esports-60846,/media/flag/2.png,/media/flag/2.png,/lol/na-lcs-2018-spring/season,/media/tournament/_60/e1602.png,,100TсчетFLY,"11 февраля, 2018, 07:54",
2,/lol/na-lcs-2018-spring/season/optic-gaming-vs-clg-60844,/media/flag/2.png,/media/flag/13.png,/lol/na-lcs-2018-spring/season,/media/tournament/_60/e1602.png,,OPTсчетCLG,"11 февраля, 2018, 06:55",
3,/lol/na-lcs-2018-spring/season/cloud9-vs-liquid-60843,/media/flag/2.png,/media/flag/2.png,/lol/na-lcs-2018-spring/season,/media/tournament/_60/e1602.png,,C9счетTL,"11 февраля, 2018, 06:03",
4,/lol/na-lcs-2018-spring/season/tsm-vs-clutch-gaming-60842,/media/flag/2.png,/media/flag/2.png,/lol/na-lcs-2018-spring/season,/media/tournament/_60/e1602.png,,TSMсчетCG,"11 февраля, 2018, 03:59",
5,/lol/lln-2018-opening/season/dash9-gaming-vs-rainbow7-81543,/media/flag/100.png,/media/flag/79.png,/lol/lln-2018-opening/season,/media/tournament/_60/e2044.png,,Dash9счетR7,"11 февраля, 2018, 03:57",
6,/lol/eu-lcs-2018-spring/season/g2-esports-vs-uol-60761,/media/flag/8.png,/media/flag/5.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,G2счетUOL,"11 февраля, 2018, 02:50",
7,/lol/lln-2018-opening/season/gaming-gaming-vs-6sense-81544,/media/flag/79.png,/media/flag/79.png,/lol/lln-2018-opening/season,/media/tournament/_60/e2044.png,,GGсчет6SN,"11 февраля, 2018, 02:38",
8,/lol/cls-2018-opening/season/kaos-latin-gamers-vs-legatum-81724,/media/flag/35.png,/media/flag/35.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,KLGсчетLGT,"11 февраля, 2018, 02:30",
9,/lol/lcl-2018-spring/season/just-vs-dragon-army-62317,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,JustсчетDA,"11 февраля, 2018, 02:19",
10,/lol/eu-lcs-2018-spring/season/fnatic-vs-giants-gaming-60760,/media/flag/96.png,/media/flag/8.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,FNCсчетGiants,"11 февраля, 2018, 01:56",
11,/lol/lcl-2018-spring/season/elements-pro-gaming-vs-vaevictis-62316,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,EPGсчетVAE,"11 февраля, 2018, 01:13",
